,Курс,Регион,Муниципалитет,Школа,user_id,Класс,Всего просмотров уроков,Из них онлайн,Из них в записи,Решал задач,Всего задач,Набрал баллов,Всего баллов
5399,755,Томская область,г Томск,SCHOOL-D3E3-9E59-0923,675249,7 класс,0,0,0,0,216,0.0,224
5400,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675250,7 класс,32,0,32,40,216,26.4,224
5401,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675251,7 класс,248,0,248,208,216,170.4,224
5402,755,Томская область,г Стрежевой,SCHOOL-6549-FDE7-D174,675252,7 класс,4,0,4,0,216,0.0,224
5403,755,Томская область,г Томск,SCHOOL-85FD-E6F9-A56A,675253,7 класс,16,0,16,80,216,64.0,224
5404,755,Томская область,г Томск,SCHOOL-81AB-5A06-2E34,675254,7 класс,0,0,0,0,216,0.0,224
5405,755,Томская область,г Томск,SCHOOL-CF96-CD1B-0CC4,675255,7 класс,0,0,0,0,216,0.0,224
5406,755,Томская область,г Томск,SCHOOL-B686-3FB6-5B79,675256,7 класс,0,0,0,0,216,0.0,224
5407,755,Томская область,г Стрежевой,SCHOOL-6549-FDE7-D174,675257,7 класс,0,0,0,0,216,0.0,224
5408,755,Томская область,Томский р-н,SCHOOL-CE4D-9F67-C30A,675258,7 класс,128,0,128,176,216,155.32,224
5409,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675259,7 класс,160,0,160,216,216,170.24,224
